max_iter,system,distance,repeat,mode,eval_count,guide_cost,total_cost,energy,exact_total,abs_error_vs_fci,robust_amp,robust_guided_used
25,LiH,0.6538461538461539,2,default,25,0,25.0,-7.273283193009298,-7.410554190427822,0.13727099741852467,0.0,
25,LiH,0.6538461538461539,2,guided_fourier_robust,25,9,34.0,-7.278372483994259,-7.410554190427822,0.1321817064335633,0.24320297770348795,True
25,LiH,0.8076923076923077,0,default,25,0,25.0,-7.570592426004507,-7.625517053911114,0.05492462790660735,0.0,
25,LiH,0.8076923076923077,0,guided_fourier_robust,25,9,34.0,-7.561529699418974,-7.625517053911114,0.06398735449214055,0.3457727470489854,True
25,LiH,0.8076923076923077,1,default,25,0,25.0,-7.589536139785906,-7.625517053911114,0.035980914125207875,0.0,
25,LiH,0.8076923076923077,1,guided_fourier_robust,25,9,34.0,-7.5856540851840135,-7.625517053911114,0.0398629687271006,0.14945407673172115,True
25,LiH,0.8076923076923077,2,default,25,0,25.0,-7.440759006562492,-7.625517053911114,0.18475804734862233,0.0,
25,LiH,0.8076923076923077,2,guided_fourier_robust,25,9,34.0,-7.499443714542082,-7.625517053911114,0.1260733393690323,0.253030591210538,True
25,LiH,0.9615384615384616,0,default,25,0,25.0,-7.6817996845527,-7.747746029805036,0.06594634525233634,0.0,
25,LiH,0.9615384615384616,0,guided_fourier_robust,25,9,34.0,-7.665899438658589,-7.747746029805036,0.08184659114644699,0.35320808259432007,True
25,LiH,0.9615384615384616,1,default,25,0,25.0,-7.709641456365489,-7.747746029805036,0.038104573439547096,0.0,
25,LiH,0.9615384615384616,1,guided_fourier_robust,25,9,34.0,-7.710880487783173,-7.747746029805036,0.03686554202186265,0.16764627781172725,True
25,LiH,0.9615384615384616,2,default,25,0,25.0,-7.55603634783362,-7.747746029805036,0.1917096819714157,0.0,
25,LiH,0.9615384615384616,2,guided_fourier_robust,25,9,34.0,-7.5961930555115575,-7.747746029805036,0.15155297429347847,0.2586548754378379,True
50,BeH2,0.5,0,default,50,0,50.0,-13.432693707639686,-13.667143209581798,0.23444950194211245,0.0,
50,BeH2,0.5,0,guided_fourier_robust,50,9,59.0,-13.614205388867482,-13.667143209581798,0.052937820714316075,0.7543733673055979,True
50,BeH2,0.5,1,default,50,0,50.0,-13.586828497966458,-13.667143209581798,0.08031471161534043,0.0,
50,BeH2,0.5,1,guided_fourier_robust,50,9,59.0,-13.611028930863277,-13.667143209581798,0.05611427871852115,1.35602526813868,True
50,BeH2,0.5,2,default,50,0,50.0,-13.104009630246043,-13.667143209581798,0.563133579335755,0.0,
50,BeH2,0.5,2,guided_fourier_robust,50,9,59.0,-13.559622359733364,-13.667143209581798,0.10752084984843435,1.33657614751887,True
50,BeH2,0.6538461538461539,0,default,50,0,50.0,-14.389281705765352,-14.66180850553618,0.2725267997708283,0.0,
50,BeH2,0.6538461538461539,0,guided_fourier_robust,50,9,59.0,-14.599861803099216,-14.66180850553618,0.06194670243696443,0.7872498868759594,True
50,BeH2,0.6538461538461539,1,default,50,0,50.0,-14.596018903700806,-14.66180850553618,0.06578960183537497,0.0,
