molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,efficient_su2,1,spsa,100,137,-7.735631540017794,-7.848168124173495,CASCI,0.11253658415570111,70.61771938695985,False,200,True,,,6,62,-6.716592266326481,0.19601012699422427,1.3069392159959534,1.5112821139919106
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,efficient_su2,2,cobyla,100,137,-7.71663762228202,-7.848168124173495,CASCI,0.13153050189147475,82.53657371141743,False,100,True,,,6,62,-6.716592266326479,0.17681699599779677,0.9540885030000936,1.1422561049985234
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,efficient_su2,2,slsqp,100,137,-7.848036984311885,-7.848168124173495,CASCI,0.0001311398616099524,0.08229144341899962,True,2666,True,,,6,62,-6.716592266326482,0.2062541159975808,21.081022817001212,21.301126199003193
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,efficient_su2,2,spsa,100,137,-7.730587059458403,-7.848168124173495,CASCI,0.11758106471509144,73.78317633830231,False,200,True,,,6,62,-6.716592266326485,0.2559452150017023,2.254714481998235,2.524256566000986
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,uccsd,1,cobyla,100,137,-7.843262807392187,-7.848168124173495,CASCI,0.004905316781307789,3.0781304281216695,False,100,True,,,6,62,-6.716592266326481,0.3353394220030168,3.990008044987917,4.537755800993182
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,uccsd,1,slsqp,100,137,-7.848158338858408,-7.848168124173495,CASCI,9.785315087107449e-06,0.006140373284995709,True,138,True,,,6,62,-6.716592266326481,0.1736812809976982,5.048571098988759,5.347336589999031
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,uccsd,1,spsa,100,137,-7.846512098116749,-7.848168124173495,CASCI,0.0016560260567457519,1.03917125484247,False,200,True,,,6,62,-6.716592266326479,0.17277688499598298,9.710386703998665,10.009841927996604
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,puccsd,1,cobyla,100,137,-7.848165105047563,-7.848168124173495,CASCI,3.0191259314804597e-06,0.0018945286941373719,True,100,True,,,6,62,-6.716592266326483,0.17028392301290296,3.1870071120065404,3.458669469997403
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,puccsd,1,slsqp,100,137,-7.848167800053095,-7.848168124173495,CASCI,3.241203998527453e-07,0.00020338846799119637,True,73,True,,,6,62,-6.716592266326482,0.30176308400405105,2.2105564569937997,2.625186777993804
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,puccsd,1,spsa,100,137,-7.8476088329091045,-7.848168124173495,CASCI,0.0005592912643903603,0.3509603020263306,True,200,True,,,6,62,-6.716592266326483,0.2604776289954316,8.350227255999926,8.741815335990395
