molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
BeH2,statevector,,,,sto-3g,1.1,jw,efficient_su2,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-14.878967805876842,-15.528632692194162,CASCI,-15.528632692194162,0.6496648863173196,407.6705631480949,False,-3.6047541991453955,100,True,,,8,61,-11.274213606731447,0.3417213390002871,1.4236398819994065,1.7682444919992122
BeH2,statevector,,,,sto-3g,1.1,jw,efficient_su2,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.521998903403018,-15.528632692194162,CASCI,-15.528632692194162,0.006633788791143402,4.162762170541606,False,-4.247785296671582,1257,True,,,8,61,-11.274213606731436,0.35528156899999885,17.306580141999802,17.664795407999918
BeH2,statevector,,,,sto-3g,1.1,jw,efficient_su2,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.34399816490121,-15.528632692194162,CASCI,-15.528632692194162,0.1846345272929515,115.8598275870727,False,-4.069784558169774,200,True,,,8,61,-11.274213606731436,0.3498616150000089,2.508550176999961,2.8613167389994487
BeH2,statevector,,,,sto-3g,1.1,jw,efficient_su2,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.071545856400853,-15.528632692194162,CASCI,-15.528632692194162,0.45708683579330867,286.8261032418233,False,-3.797332249669407,100,True,,,8,61,-11.274213606731447,0.35162890599985985,1.5956227990000116,1.9503283269996246
BeH2,statevector,,,,sto-3g,1.1,jw,efficient_su2,2,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.521998081242945,-15.528632692194162,CASCI,-15.528632692194162,0.006634610951216757,4.163278083387076,False,-4.247784474511512,1176,True,,,8,61,-11.274213606731433,0.35589850500036846,17.780674576999445,18.13980067600005
BeH2,statevector,,,,sto-3g,1.1,jw,efficient_su2,2,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.38494608152936,-15.528632692194162,CASCI,-15.528632692194162,0.14368661066480115,90.1646413716587,False,-4.1107324747979215,200,True,,,8,61,-11.27421360673144,0.36822821799978556,2.852583680999487,3.2242872910001097
BeH2,statevector,,,,sto-3g,1.4,jw,real_amplitudes,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.490331175047805,-15.55823698842795,CASCI,-15.55823698842795,0.06790581338014512,42.611509048361484,False,-3.751722605083667,100,True,,,8,61,-11.738608569964137,0.3413359579999451,1.278105434000281,1.6214996570006406
BeH2,statevector,,,,sto-3g,1.4,jw,real_amplitudes,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.445903214600587,-15.55823698842795,CASCI,-15.55823698842795,0.11233377382736265,70.4904540806345,False,-3.7072946446364528,819,True,,,8,61,-11.738608569964136,0.3643622580002557,8.050085476999811,8.416534787999808
BeH2,statevector,,,,sto-3g,1.4,jw,real_amplitudes,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.360217444606537,-15.55823698842795,CASCI,-15.55823698842795,0.19801954382141318,124.25904592383117,False,-3.621608874642411,200,True,,,8,61,-11.738608569964125,0.37944610199974704,2.137608776999514,2.519203839000511
BeH2,statevector,,,,sto-3g,1.4,jw,real_amplitudes,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.351499944453222,-15.55823698842795,CASCI,-15.55823698842795,0.20673704397472825,129.72935572753775,False,-3.6128913744890934,100,True,,,8,61,-11.738608569964128,0.33094432599955326,1.3509570790001817,1.684268107999742
