molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,real_amplitudes,1,spsa,100,137,-1.0798648982297818,-1.0938605757275708,FCI,0.01399567749778896,8.782413590960052,False,200,True,,,4,15,0.9585096650626416,0.06405359099153429,0.558669837002526,0.6281576329929521
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,real_amplitudes,2,cobyla,100,137,-1.0767714397311372,-1.0938605757275708,FCI,0.01708913599643358,10.72358663998604,False,100,True,,,4,15,0.9585096650626416,0.06582839600741863,0.5063726489897817,0.578999453005963
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,real_amplitudes,2,slsqp,100,137,-1.0802186951588486,-1.0938605757275708,FCI,0.013641880568722176,8.560402833798284,False,183,True,,,4,15,0.9585096650626416,0.07827007600280922,0.6959300929884193,0.7804906670062337
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,real_amplitudes,2,spsa,100,137,-1.0796879416107883,-1.0938605757275708,FCI,0.01417263411678249,8.893455461988063,False,200,True,,,4,15,0.9585096650626416,0.08007140099653043,0.6270834699971601,0.7134747230011271
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,efficient_su2,1,cobyla,100,137,-1.0796025093169033,-1.0938605757275708,FCI,0.014258066410667514,8.94706499529156,False,100,True,,,4,15,0.9585096650626416,0.06379069699323736,0.5239236329944106,0.5950471520045539
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,efficient_su2,1,slsqp,100,137,-1.0802175849368996,-1.0938605757275708,FCI,0.013642990790671217,8.561099508063304,False,272,True,,,4,15,0.9585096650626416,0.0684324259927962,1.0687512820004486,1.1441879420017358
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,efficient_su2,1,spsa,100,137,-1.0887679065236275,-1.0938605757275708,FCI,0.005092669203943245,3.195695759497222,False,200,True,,,4,15,0.9585096650626416,0.06965813899296336,0.6737789680046262,0.7510949730058201
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,efficient_su2,2,cobyla,100,137,-1.0555203837618494,-1.0938605757275708,FCI,0.03834019196572136,24.058815520217845,False,100,True,,,4,15,0.9585096650626416,0.06909786300093401,0.596626288999687,0.6749672620062483
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,efficient_su2,2,slsqp,100,137,-1.0938550273075256,-1.0938605757275708,FCI,5.548420045187186e-06,0.003481683514135366,True,777,True,,,4,15,0.9585096650626416,0.07003541200538166,3.6627151889988454,3.7419740180048393
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,efficient_su2,2,spsa,100,137,-1.0785869444613114,-1.0938605757275708,FCI,0.015273631266259358,9.584341082259144,False,200,True,,,4,15,0.9585096650626416,0.14974439500656445,0.8161430469917832,0.974995955999475
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,uccsd,1,cobyla,100,137,-1.093860567969188,-1.0938605757275708,FCI,7.758382825073795e-09,4.868455048179233e-06,True,67,True,,,4,15,0.9585096650626416,0.10055115100112744,0.8592004450038075,0.9944707800023025
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,uccsd,1,slsqp,100,137,-1.0938605717565104,-1.0938605757275708,FCI,3.971060369423185e-09,2.4918761213563733e-06,True,43,True,,,4,15,0.9585096650626416,0.06593010800133925,0.4980554560024757,0.594459668995114
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,uccsd,1,spsa,100,137,-1.0937967632917514,-1.0938605757275708,FCI,6.381243581943252e-05,0.04004287778861628,True,200,True,,,4,15,0.9585096650626416,0.06300617700617295,2.385227311999188,2.4783009009988746
