molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,total_experiment_s
H2,sto-3g,presentation_range_curve_sto3g,1.0729166666666667,jw,puccsd,1,cobyla,100,137,-1.0852597389180356,-1.085259739315379,FCI,3.973432693982204e-10,2.493364776368079e-07,True,39,True,,,4,15,0.49321371114873785,0.9993390809977427
H2,sto-3g,presentation_range_curve_sto3g,1.0902777777777777,jw,puccsd,1,cobyla,100,137,-1.081376248724724,-1.08137626142011,FCI,1.2695385853689345e-08,7.966468881662747e-06,True,43,True,,,4,15,0.48535998963363064,0.6644254970015027
H2,sto-3g,presentation_range_curve_sto3g,1.1076388888888888,jw,puccsd,1,cobyla,100,137,-1.0774744585923157,-1.077474462338741,FCI,3.746425170092493e-09,2.3509155120595703e-06,True,39,True,,,4,15,0.4777524662851412,0.5559243650059216
H2,sto-3g,presentation_range_curve_sto3g,1.125,jw,puccsd,1,cobyla,100,137,-1.073562979745828,-1.0735629806041145,FCI,8.582865529405126e-10,5.385825365491482e-07,True,45,True,,,4,15,0.47037974304,0.6257342090102611
H2,sto-3g,presentation_range_curve_sto3g,1.1423611111111112,jw,puccsd,1,cobyla,100,137,-1.0696499205229724,-1.0696499238843216,FCI,3.361349198982566e-09,2.109276874504351e-06,True,39,True,,,4,15,0.46323111472632217,0.5801419039926259
H2,sto-3g,presentation_range_curve_sto3g,1.1597222222222223,jw,puccsd,1,cobyla,100,137,-1.0657429063856634,-1.0657429065238306,FCI,1.3816725541460073e-10,8.670119627796069e-08,True,44,True,,,4,15,0.4562965172004791,0.6457689669914544
H2,sto-3g,presentation_range_curve_sto3g,1.1770833333333337,jw,puccsd,1,cobyla,100,137,-1.061849077831865,-1.0618490800679754,FCI,2.2361104079493543e-09,1.4031794059818915e-06,True,47,True,,,4,15,0.4495664800736282,0.6682808210025541
H2,sto-3g,presentation_range_curve_sto3g,1.1944444444444446,jw,puccsd,1,cobyla,100,137,-1.0579751573868905,-1.057975158021057,FCI,6.34166497093247e-10,3.9794518442448637e-07,True,40,True,,,4,15,0.44303208356093016,0.5765474780055229
H2,sto-3g,presentation_range_curve_sto3g,1.2118055555555556,jw,puccsd,1,cobyla,100,137,-1.054127434784644,-1.054127435953474,FCI,1.1688299217382792e-09,7.334512953600659e-07,True,43,True,,,4,15,0.43668491904000006,0.6356299600010971
H2,sto-3g,presentation_range_curve_sto3g,1.2291666666666667,jw,puccsd,1,cobyla,100,137,-1.0503118070353659,-1.0503118079366447,FCI,9.012788293460972e-10,5.655605769241401e-07,True,47,True,,,4,15,0.43051705295186443,0.7367979730042862
H2,sto-3g,presentation_range_curve_sto3g,1.2465277777777777,jw,puccsd,1,cobyla,100,137,-1.0465337787548425,-1.0465337801503187,FCI,1.3954761790557768e-09,8.756738616431114e-07,True,48,True,,,4,15,0.42452099371855156,0.7259936440095771
H2,sto-3g,presentation_range_curve_sto3g,1.2638888888888888,jw,puccsd,1,cobyla,100,137,-1.0427984816938478,-1.042798482378854,FCI,6.85006273926092e-10,4.298476019450881e-07,True,41,True,,,4,15,0.4186896613872528,0.6385973650030792
H2,sto-3g,presentation_range_curve_sto3g,1.28125,jw,puccsd,1,cobyla,100,137,-1.0391106767985925,-1.0391106779937485,FCI,1.1951559741874007e-09,7.499711302063617e-07,True,41,True,,,4,15,0.41301635974243905,1.682737471011933
H2,sto-3g,presentation_range_curve_sto3g,1.2986111111111112,jw,puccsd,1,cobyla,100,137,-1.0354747715361747,-1.035474772911187,FCI,1.375012326221281e-09,8.628326098147898e-07,True,37,True,,,4,15,0.40749475065497326,0.748174378008116
H2,sto-3g,presentation_range_curve_sto3g,1.3159722222222223,jw,puccsd,1,cobyla,100,137,-1.0318948210671008,-1.0318948239166013,FCI,2.849500413404371e-09,1.7880871549149636e-06,True,40,True,,,4,15,0.4021188304616359,0.7403058120107744
H2,sto-3g,presentation_range_curve_sto3g,1.3333333333333337,jw,puccsd,1,cobyla,100,137,-1.0283745455436843,-1.028374546663352,FCI,1.1196676918956427e-09,7.026015536737429e-07,True,41,True,,,4,15,0.39688290818999994,0.6850145580101525
H2,sto-3g,presentation_range_curve_sto3g,1.3506944444444444,jw,puccsd,1,cobyla,100,137,-1.0249173186839295,-1.0249173235800364,FCI,4.8961068532804575e-09,3.0723511153951665e-06,True,38,True,,,4,15,0.39178158546262215,0.6527741549944039
H2,sto-3g,presentation_range_curve_sto3g,1.3680555555555556,jw,puccsd,1,cobyla,100,137,-1.0215262075972042,-1.0215262118601371,FCI,4.262932895571225e-09,2.6750287583670043e-06,True,41,True,,,4,15,0.3868097379313706,0.7690241490054177
H2,sto-3g,presentation_range_curve_sto3g,1.3854166666666667,jw,puccsd,1,cobyla,100,137,-1.0182039483607441,-1.0182039516570305,FCI,3.2962863549812482e-09,2.068449354327928e-06,True,47,True,,,4,15,0.3819624981076692,0.9887084549991414
H2,sto-3g,presentation_range_curve_sto3g,1.402777777777778,jw,puccsd,1,cobyla,100,137,-1.0149529735258758,-1.0149529745669694,FCI,1.0410936557292416e-09,6.532956388130007e-07,True,39,True,,,4,15,0.37723523946772275,0.7026447509997524
H2,sto-3g,presentation_range_curve_sto3g,1.4201388888888888,jw,puccsd,1,cobyla,100,137,-1.0117754123670213,-1.0117754124501095,FCI,8.308820298452702e-11,5.213859516661756e-08,True,41,True,,,4,15,0.3726235617236186,0.8422351829940453
H2,sto-3g,presentation_range_curve_sto3g,1.4375,jw,puccsd,1,cobyla,100,137,-1.0086731030284257,-1.0086731066148893,FCI,3.586463570570686e-09,2.2505381687052407e-06,True,35,True,,,4,15,0.36812327716173915,0.7394311139942147
H2,sto-3g,presentation_range_curve_sto3g,1.4548611111111112,jw,puccsd,1,cobyla,100,137,-1.005647616116598,-1.0056476173720366,FCI,1.2554386419338925e-09,7.87799046761295e-07,True,44,True,,,4,15,0.36373039795933176,0.7948105020041112
H2,sto-3g,presentation_range_curve_sto3g,1.4722222222222223,jw,puccsd,1,cobyla,100,137,-1.0027002283241877,-1.0027002339503577,FCI,5.626169974348727e-09,3.5304722944335953e-06,True,37,True,,,4,15,0.3594411243984906,0.7016738120000809
H2,sto-3g,presentation_range_curve_sto3g,1.4895833333333337,jw,puccsd,1,cobyla,100,137,-0.9998319832414957,-0.9998319847563704,FCI,1.5148746701498794e-09,9.505974893910807e-07,True,44,True,,,4,15,0.3552518339043356,0.8918730759905884
H2,sto-3g,presentation_range_curve_sto3g,1.5069444444444444,jw,puccsd,1,cobyla,100,137,-0.9970436466205298,-0.9970436479525888,FCI,1.3320590186438608e-09,8.358790227301904e-07,True,50,True,,,4,15,0.3511590708409217,0.952783027998521
H2,sto-3g,presentation_range_curve_sto3g,1.5243055555555556,jw,puccsd,1,cobyla,100,137,-0.994335762239936,-0.9943357623241112,FCI,8.41752223479375e-11,5.282070960033192e-08,True,38,True,,,4,15,0.3471595370044647,0.575109778001206
H2,sto-3g,presentation_range_curve_sto3g,1.5416666666666667,jw,puccsd,1,cobyla,100,137,-0.9917086335694236,-0.9917086383999798,FCI,4.830556177282119e-09,3.0312174762501256e-06,True,36,True,,,4,15,0.3432500827589189,0.5394571979995817
